Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2021,March,D Public order and security offences,D30 Public nuisance offences,D33 Begging,65,1.0
2021,March,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,1,0.0
2021,March,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"3,253",49.7
2021,March,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,132,2.0
2021,March,D Public order and security offences,D40 Public security offences,D41 Immigration offences,4,0.1
2021,March,D Public order and security offences,D40 Public security offences,D43 Hacking,139,2.1
2021,March,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,8,0.1
2021,March,D Public order and security offences,D40 Public security offences,D49 Other public security offences,4,0.1
2021,March,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,166,2.5
2021,March,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,2,0.0
2021,March,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"9,980",152.4
2021,March,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,780,11.9
2021,March,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,742,11.3
2021,March,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,"2,019",30.8
2021,March,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"54,272",828.8
2021,March,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"4,415",67.4
2021,March,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"10,751",164.2
2021,March,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,"1,446",22.1
2021,March,F Other offences,F10 Regulatory driving offences,F12 Drug driving,1,0.0
2021,March,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,11,0.2
2021,March,F Other offences,F20 Transport regulation offences,F21 Public transport,113,1.7
2021,March,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,10,0.2
2021,March,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,133,2.0
2021,March,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,6,0.1
2021,March,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,21,0.3
2021,March,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,46,0.7
2021,March,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences,32,0.5
2021,March,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,135,2.1
